Campaña;Canal;% Recorrido;% Contactabilidad;Efec. Bruta;Efect Neta;Vueltas;MES;AÑO
BxzxNxzz_PNG;Hxldtxch;25,10%;0,151732458;0,001030624;0,00073616;;2;2024
BxzxNxzz_PYMx;Kxnxctx txlxvxntxz;100,00%;0,854480081;0,000706928;0,000639601;;2;2024
BxzxNxzz_PYMx;Hxldtxch;100,00%;0,482498138;0,000220507;0,000220507;;2;2024
CRxzz_BxzxNxzz_RxC;Hxldtxch;99,70%;0,418426919;0,000380518;0,000211399;;2;2024
CRxzz_CxNzxMxR_CTRL;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,499037898;0,003688181;0,002347024;;2;2024
CRxzz_CxNzxMxR_PLTx;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,356591579;0,003929849;0,001759634;;2;2024
Crxzz_Bxzxnxzz;Kxnxctx txlxvxntxz;100,00%;0,73273283;0,004082901;0,002662761;;2;2024
Crxzz_Bxzxnxzz;Hxldtxch;99,94%;0,450431034;0,000341763;-;;2;2024
Crxzz_Cxnzxmxr;Kxnxctx txlxvxntxz cxlxmbxx;99,98%;0,399930363;0,013339471;0,007975663;;2;2024
Crxzz_Cxnzxmxr;xpxx Txlxvxntxz Cxlxmbxx;81,92%;0,455376631;0,010541664;0,00559764;;2;2024
Crxzz_Cxnzxmxr;Kxnxctx txlxvxntxz;95,91%;0,23920543;0,006171183;0,003890529;;2;2024
Crxzz_Cxnzxmxr;Hxldtxch;100,00%;0,691197576;0,00519091;0,0032299;;2;2024
Crxzz_Cxnzxmxr;Hxldtxch zxntxxgx;52,19%;0,206838393;0,004447739;0,00074129;;2;2024
xLxCKxR_LxB_TVT;xpxx Txlxvxntxz;90,84%;0,484482759;-;-;;2;2024
FxBRx_CxMxNx_C1;Txxndx Gzz Tvt Cxlxmbxx;99,63%;0,432503595;0,000410172;0,00021588;;2;2024
FxBRx_CxMxNx_C1;xpxx Txlxvxntxz Cxlxmbxx;100,00%;0,45207652;0,000139708;0,000077616;;2;2024
FxBRx_CxMxNx_C2;Txxndx Gzz Tvt Cxlxmbxx;100,00%;0,229966222;0,000379867;0,000189934;;2;2024
FxBRx_CxMxNx_C2;xpxx Txlxvxntxz Cxlxmbxx;88,26%;0,221128463;0,000143833;0,000143833;;2;2024
